date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:28	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Oct%202025%2017:41:28%20GMT	https://html.rometheme.net/reboost	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost.0.delayed	(from )
21:41:29	108841/108841	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:08%20GMT	https://html.rometheme.net/reboost/	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/index.html	(from )
21:41:29	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Oct%202025%2017:41:29%20GMT	https://html.rometheme.net/robots.txt		(from )
21:41:30	2721/2721	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2008:55:40%20GMT	https://html.rometheme.net/reboost/image/icon.png	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/image/icon.png	(from https://html.rometheme.net/reboost/)
21:41:30	100839/100839	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Sep%202025%2008:55:18%20GMT	https://html.rometheme.net/reboost/css/style.css	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/css/style.css	(from https://html.rometheme.net/reboost/)
21:41:30	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e283%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	C:/Users/NK/Desktop/veza_webi/veza_web/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	(from https://html.rometheme.net/reboost/)
21:41:31	1669/1669	---MCZ	200	added ('OK')	text/css	etag:W/%22685-6cb+4brlSf84gn9PS8chTAC1GIU%22	https://cdn.jsdelivr.net/gh/shishirraven/animate-on-scroll@v1.2/animation_utility.css	C:/Users/NK/Desktop/veza_webi/veza_web/cdn.jsdelivr.net/gh/shishirraven/animate-on-scroll@v1.2/animation_utility.css	(from https://html.rometheme.net/reboost/)
21:41:31	6968/6968	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Sep%202025%2008:56:49%20GMT	https://html.rometheme.net/reboost/image/site%20logo.png	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/image/site%20logo.png	(from https://html.rometheme.net/reboost/)
21:41:31	108841/108841	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:08%20GMT	https://html.rometheme.net/reboost/index.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/index-2.html	(from https://html.rometheme.net/reboost/)
21:41:31	71019/71019	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:05%20GMT	https://html.rometheme.net/reboost/about-us.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/about-us.html	(from https://html.rometheme.net/reboost/)
21:41:32	61184/61184	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:12%20GMT	https://html.rometheme.net/reboost/services.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/services.html	(from https://html.rometheme.net/reboost/)
21:41:32	33921/33921	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:11%20GMT	https://html.rometheme.net/reboost/services-detail.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/services-detail.html	(from https://html.rometheme.net/reboost/)
21:41:32	52845/52845	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:10%20GMT	https://html.rometheme.net/reboost/portofolio.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/portofolio.html	(from https://html.rometheme.net/reboost/)
21:41:32	33934/33934	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:09%20GMT	https://html.rometheme.net/reboost/portofolio-detail.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/portofolio-detail.html	(from https://html.rometheme.net/reboost/)
21:41:33	37469/37469	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2008:55:13%20GMT	https://html.rometheme.net/reboost/team.html	C:/Users/NK/Desktop/veza_webi/veza_web/html.rometheme.net/reboost/team.html	(from https://html.rometheme.net/reboost/)
